T PL,H PL,verb,verb - main semantic class,verb - tense,verb - factive/nonfactive,complement - tense,T - negation,T - type of sentence,"GOLD <T,H>"
"Jeżeli i ze mną, i z tobą umówiła się o szesnastej, to w jaki sposób się dowie, że obaj rozszyfrowaliśmy te idiotyczne hasła?",obaj rozszyfrowaliśmy te idiotyczne hasła?,"dowiedzieć się, że_",epistemiczny,future,F,past,False,warunkowe,E
"Przewodnik, nie chcąc uchodzić w oczach Ziemianina za kompletnego durnia albo za notorycznego kłamcę, musiał równocześnie dać do zrozumienia, że to, co mówi, należy traktować trochę ""na niby"".","to, co mówi, należy traktować trochę ""na niby"".","dać do zrozumienia, że_",mówienia,past,NF,present,False,indywidualne,N
"Rafał Guzowski mówi, że władze miasta są jak najlepszego zdania na temat pracy Gucwińskich. ",władze miasta są jak najlepszego zdania na temat pracy Gucwińskich. ,"mówić, że_",mówienia,present,NF,present,False,indywidualne,N
"Każda rzecz i każde zdarzenie niesie ze sobą swoją własną prawdę, którą odkrywamy dopiero i opisujemy, posługując się słowami i obrazami, najlepiej jak potrafimy, ale mówili nam przecież, że każda prawda pochodzi od Boga,on ją ostatecznie odnajduje i szepcze co nią jest, a co tylko udaje.","każda prawda pochodzi od Boga,on ją ostatecznie odnajduje i szepcze co nią jest, a co tylko udaje.","mówić, że_",mówienia,past,NF,present,False,indywidualne,N
"Matka tego pana oznajmiła mi przy powtórnym spotkaniu, iż syn dał jej słowo honoru, że nie jest ojcem dziecka a zatem sprawa go nie dotyczy.", nie jest ojcem dziecka,"dać słowo honoru, że_",mówienia,past,NF,present,False,indywidualne,N
"Często jest tak, że zakochany mężczyzna spotyka swoją ""przyjaciółkę"", przez długie lata utrzymując znajomość, bo zdaje sobie sprawę, że jego wysiłki w uwiedzeniu jej są bezcelowe, ale kocha ją tak mocno, że w obawie przed utratą tej chociaż namiastki kochanki.",jego wysiłki w uwiedzeniu jej są bezcelowe,"zdawać sobie sprawę, że_",epistemiczny,present,F,present,False,reguła,E
"Warto w tym miejscu dodać, że młodzież z Zespołu Szkół w Konopiskach wraz nauczycielami uczestniczyła również w tegorocznym Marszu Żywych, organizowanym od kilku lat na terenie obozu KL Auschwitz.","młodzież z Zespołu Szkół w Konopiskach wraz nauczycielami uczestniczyła również w tegorocznym Marszu Żywych, organizowanym od kilku lat na terenie obozu KL Auschwitz.","dodać, że_",mówienia,,NF,past,False,indywidualne,N
"Przyznać trzeba, że nie było łatwo.",nie było łatwo.,"przyznać, że_",mówienia,,F,past,False,indywidualne,E
 bardzo delikatnie myłam bo wiem że to jest teflon,to jest teflon,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Także Gredonia Mwerinde, niegdyś ulicznica, która przystawszy do proroka, została jego powiernicą i kochanką, utrzymywała, że wstępują w nią duchy Matki Bożej i Michała Archanioła.",wstępują w nią duchy Matki Bożej i Michała Archanioła.,"utrzymywać, że_",mówienia,past,NF,present,False,indywidualne,N
"- Nie potrafię uwierzyć, że coś może być jednoznaczne. ",coś może być jednoznaczne. ,"uwierzyć, że_",epistemiczny,present,NF,present,True,indywidualne,N
"Policjanci natychmiast ustalili, że samochód należy do jednego ze szczecińskich przedsiębiorstw państwowych.",samochód należy do jednego ze szczecińskich przedsiębiorstw państwowych.,"ustalić [na podstawie czegoś], że_",epistemiczny,past,NF,present,False,indywidualne,N
"Wiadomo, że monarcha lubił samotność, która dla władcy, a tym bardziej dzisiejszego polityka, jest na ogół nieosiągalnym luksusem.","monarcha lubił samotność, która dla władcy, a tym bardziej dzisiejszego polityka, jest na ogół nieosiągalnym luksusem.","wiadomo, że_",epistemiczny,present,F,past,False,indywidualne,E
"I mówię ci, że strasznie tego nie lubiłem, bo... - chętnie bym opowiedział, jak nienawidziłem zabierać młodszego brata na boisko. ",strasznie tego nie lubiłem,"mówić, że_",mówienia,present,NF,past,False,indywidualne,N
"Chyba nie potrzebujemy Derridy, by przypomnieć, że marzenie o języku całkowicie odciętym od reguły zapośredniczenia i powtórzenia to czysta utopia.",marzenie o języku całkowicie odciętym od reguły zapośredniczenia i powtórzenia to czysta utopia.,"przypomnieć komuś, że_",mówienia,present,F,inne,False,indywidualne,E
"Myślałem, że pani do mnie zadzwoni...",pani do mnie zadzwoni...,"myśleć, że_",epistemiczny,past,NF,future,False,indywidualne,C
"Twierdzą, że ocieplenie będzie przyspieszało.",ocieplenie będzie przyspieszało.,"twierdzić, że_",mówienia,present,NF,future,False,indywidualne,N
"Teraz już wiedziała, że to koniec.",to koniec.,"wiedzieć, że_",epistemiczny,past,F,inne,False,indywidualne,E
czy powiem dzisiaj mężowi czy żonie że mi zmarł pacjent na stole ? , mi zmarł pacjent na stole ? ,"powiedzieć, że_",mówienia,future,NF,past,False,reguła,N
"Uważasz, że bujam w obłokach?", bujam w obłokach?,"uważać, że_",epistemiczny,present,NF,present,False,pytajne,N
"Dodał, że zdarzają się oczywiście przypadki, gdy samorządowcy po wygranych wyborach trafiali do więzienia, skąd próbowali dalej rządzić.","zdarzają się oczywiście przypadki, gdy samorządowcy po wygranych wyborach trafiali do więzienia, skąd próbowali dalej rządzić.","dodać, że_",mówienia,past,NF,present,False,indywidualne,N
"Słyszałaś na pewno, że im mocniejsze są elementy układu, tym mocniejszy jest cały układ.","im mocniejsze są elementy układu, tym mocniejszy jest cały układ.","słyszeć, że_[mowa]",mówienia,past,NF,present,False,indywidualne,N
"Zaobserwowane odstępstwa świadczą o tym, że pewien przyczynek do momentu magnetycznego deuteronu musi pochodzić z ruchu protonu po orbicie z momentem pędu większym od zera.",pewien przyczynek do momentu magnetycznego deuteronu musi pochodzić z ruchu protonu po orbicie z momentem pędu większym od zera.,"świadczyć, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Konstytucja mówi, że ""Rzeczpospolita Polska jest demokratycznym państwem prawnym"" czy aby na pewno, jeśli na jej terytorium może dochodzić to takich ekscesów.",Rzeczpospolita Polska jest demokratycznym państwem prawnym ,"mówić, że_",mówienia,present,NF,present,False,indywidualne,E
"Nieco bystrzejszy obserwator mógł dostrzec, że zgrabne szafeczki nie zawierają kryształów i sreber, lecz instrumenty medyczne, flaszki z tajemniczą zawartością, a także lśniące groźnie ostrza różnych wielkości i rodzajów umieszczone w specjalnych przegródkach. ","zgrabne szafeczki nie zawierają kryształów i sreber, lecz instrumenty medyczne, flaszki z tajemniczą zawartością, a także lśniące groźnie ostrza różnych wielkości i rodzajów umieszczone w specjalnych przegródkach.","[p] dostrzec, że_",percepcyjny,past,F,present,False,indywidualne,E
"Tam poinformowano mnie, że taksometr nie mógł być włączony wcześniej – mówi Patrycja Ponufnik.",taksometr nie mógł być włączony wcześniej,"poinformować, że_",mówienia,past,NF,past,False,indywidualne,N
"Policja podejrzewa, że kobieta w podobny sposób może działać nadal",kobieta w podobny sposób może działać nadal,"podejrzewać, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Nie no... ale nie myślałem, że pani serio...",pani serio...,"myśleć, że_",epistemiczny,past,NF,inne,True,indywidualne,E
"Od dawna próbuję ci uświadomić, że oni cię tam nie chcą. ",oni cię tam nie chcą. ,"uświadomić komuś, że_",mówienia,present,F,present,False,indywidualne,E
"Z artykułu wynika, że niemalże potykamy się o kormoranie guano, a gdzie nie spojrzy biedny polski rybak i równie upokorzony leśnik, tam na drzewie czarne ptaszysko z rybą w dziobie widzi. ","niemalże potykamy się o kormoranie guano, ","wynikać, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Ucieszyłem się, gdy zobaczyłem, że ojciec się do mnie zbliża. ",ojciec się do mnie zbliża. ,"[p] zobaczyć, że_",percepcyjny,past,F,future,False,indywidualne,E
" W tych dwóch meczach Ruch udowodnił, że jest dobrą drużyną .",jest dobrą drużyną .,"udowodnić, że_",mówienia,past,NF,present,False,indywidualne,E
"Trzeba mieć świadomość, że te badania pokazują zewnętrzną rzeczywistość Kościoła. ", te badania pokazują zewnętrzną rzeczywistość Kościoła. ,"mieć świadomość, że_",epistemiczny,present,F,present,False,indywidualne,E
"A jak by powiedział, że musi mieć na jedzenie, to byś napisała, że j edzenie nie jest potrzebne do odprawienia mszy?", jedzenie nie jest potrzebne do odprawienia mszy,"napisać, że_",mówienia,,NF,present,False,kontrfaktyczne,N
"Od dawna mieliśmy solidne podstawy, by sądzić, że w fundacji doszło do do wielu nadużyć.",w fundacji doszło do do wielu nadużyć.,"sądzić, że_",epistemiczny,,NF,past,False,indywidualne,E
"Ja jednak miałem w zanadrzu pisemko od lekarza akademickiej izolatki, który badał mnie zaraz po owej służbie wartowniczej i w pisemku swym zaświadczał, że miałem czterdzieści stopni gorączki - naprawdę miałem! - że nie bardzo rozumiałem, co do mnie wtedy mówiono ani co sam mówiłem i robiłem, i że nie powinienem był w takim stanie w ogóle pełnić żadnej służby. ","nie bardzo rozumiałem, co do mnie wtedy mówiono ani co sam mówiłem i robiłem,","zaświadczać, że_",mówienia,past,NF,past,False,indywidualne,N
"Jak strajkujemy, to nam wciskają, że kraj jest zniszczony, że nie ma pieniędzy.", nie ma pieniędzy.,"wciskać, że_",mówienia,present,NF,present,False,indywidualne,N
"Jednak nie odpowiedziała uśmiechem, widział, że coś rozważa. ", coś rozważa. ,"[e] widzieć, że_",percepcyjny,past,F,present,False,indywidualne,E
"Kto powiedział, że kino ma uczyć żyć?",kino ma uczyć żyć?,"powiedzieć, że_",mówienia,past,NF,future,False,pytajne,N
"Nie można mówić, że Polska ma CYTAT(Hanibalubram) "" gdzies polaków na białorusi "" to nieprawda."," Polska ma CYTAT(Hanibalubram) "" gdzies polaków na białorusi "" ","mówić, że_",mówienia,present,NF,present,True,indywidualne,C
"Anna Radlak nie miała ani upoważnienia do przeprowadzenia kontroli ani też żadnych innych dokumentów świadczących o tym, że ma prawo oglądać dokumenty.",ma prawo oglądać dokumenty.,"świadczyć, że_",epistemiczny,past,NF,present,False,indywidualne,N
"Wiedziałem, że otaczała mnie bezgraniczna życzliwość ludzi, gotowych postawić się na głowie, żeby mi tylko dogodzić, lecz niestety dogodzić tak, jak oni to rozumieli, a nie ja.","otaczała mnie bezgraniczna życzliwość ludzi, gotowych postawić się na głowie, żeby mi tylko dogodzić, ","wiedzieć, że_",epistemiczny,past,F,past,False,indywidualne,E
"Szacuje się, że dysfunkcja nerek to w naszym kraju problem około 100 tysięcy osób, z których nie wszystkie się leczą","dysfunkcja nerek to w naszym kraju problem około 100 tysięcy osób, z których nie wszystkie się leczą","szacować, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Ja myślę, że trzeba iść do Majewskiej i zażądać wyjaśnień.",trzeba iść do Majewskiej i zażądać wyjaśnień.,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"I zdawałoby się, że to jest rzecz oczywista, że mówi-my banały, że wiek XX dorósł do tego stwierdzenia. ",mówi-my banały,"zdawać się, że_",epistemiczny,,NF,past,False,indywidualne,N
"Wiadomo, że kobiety zawsze świetnie znają swoich cichych wielbicieli.",kobiety zawsze świetnie znają swoich cichych wielbicieli.,"wiadomo, że_",epistemiczny,present,F,present,False,indywidualne,E
"Sądzę, że pożyteczniejszy był w klubie niż w reprezentacji, mimo iż osiągnął z nią tak duże sukcesy.","pożyteczniejszy był w klubie niż w reprezentacji,","sądzić, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Oczywiście jako wiceprzewodniczący Komisji Regulaminowej i Spraw Senatorskich muszę ze zdumieniem stwierdzić, że znajomość regulaminu przez zarówno senatorów, jak i pana marszałka, przechodzi moje najśmielsze wyobrażenie, bo jakoś nie pamiętam, żeby gdziekolwiek w regulaminie było zapisane, że sprawozdawca musi być cały czas obecny na sali.",sprawozdawca musi być cały czas obecny na sali. ,"zapisać, że_",mówienia,past,NF,present,False,indywidualne,N
tylko że nie wiesz że mogę.,mogę.,"wiedzieć, że_",epistemiczny,present,F,present,True,indywidualne,E
"Mam nadzieję, że będzie się podobać i będzie pożyteczna.",będzie się podobać i będzie pożyteczna.,"mieć nadzieję, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Kiedy dowiedzieli się, że Indonezja ma dobrą i tanią kawę import tej używki w zeszłym roku osiągnął kwotę 30 mln dolarów, a więc połowę indonezyjskiego eksportu do Polski.", Indonezja ma dobrą i tanią kawę ,"dowiedzieć się, że_",epistemiczny,past,F,present,False,indywidualne,E
" Zdawało mu się, że umknie na bok nie postrzeżony. ", umknie na bok nie postrzeżony. ,"zdaje się [komuś], że_",epistemiczny,past,NF,future,False,indywidualne,C
"Pan wie, co on mi powiedział, jak go zapytałam, kiedy się zgłosi do pośredniaka? Że go to nie interesuje.",go to nie interesuje.,"powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
"Władze Metra twierdzą, że mechanizm kupowania ziemi przez pośredników i załatwiania wszelkich formalności w urzędach przez kolejnych pośredników wynika z ułomności polskiego prawa: ",mechanizm kupowania ziemi przez pośredników i załatwiania wszelkich formalności w urzędach przez kolejnych pośredników wynika z ułomności polskiego prawa:,"twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Mam nadzieję, że nadal będą między nami tak dobre relacje jak podczas przygotowań do programu",nadal będą między nami tak dobre relacje jak podczas przygotowań do programu,"mieć nadzieję, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Ważne, by stwierdzić, że wynagrodzenie zostanie wypłacone po ukończeniu całego badania oraz że nie zostanie, jeśli w trakcie testu badany zrezygnuje ze współpracy.","nie zostanie, jeśli w trakcie testu badany zrezygnuje ze współpracy.","stwierdzić, że_",mówienia,,NF,future,False,indywidualne,E
myślę że tak,tak,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Do tej pory mówiło się, że sytuację uzdrowi zmiana prezesa.",sytuację uzdrowi zmiana prezesa.,"mówić, że_",mówienia,past,NF,future,False,indywidualne,N
"Przyjmuje się, że osoba dorosła powinna wypijać dziennie około 2 l napojów. ",osoba dorosła powinna wypijać dziennie około 2 l napojów. ,"przyjmować, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Morion Nie mam PS3, 3 pamiętam i po tym co widziałem na necie mam pewność że i ta część jest świetna. ",ta część jest świetna,"mieć pewność, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Rok temu pisaliśmy, że demokracja nie uznaje żadnych świętości i że pani prezydentowa, wzywana wówczas przez komisję orlenowską o ujawnienie finansów swojej fundacji, musi publicznej takiej lustracji się poddać. ", demokracja nie uznaje żadnych świętości ,"pisać, że_",mówienia,past,NF,present,False,indywidualne,N
"Myślę, że wiesz już mniej więcej, czym jest inteligencja językowa i jak się przejawia w praktyce.","wiesz już mniej więcej, czym jest inteligencja językowa i jak się przejawia w praktyce.","myśleć, że_",epistemiczny,present,NF,present,False,indywidualne,N
może należało zachęcać w inny sposób nie poprzez stwierdzanie że ona już tam doszła, ona już tam doszła,"stwierdzać, że_",mówienia,past,NF,past,False,indywidualne,N
"Szukamy na gwałt wykonawcy, ale nie możemy takiego znaleźć w Polsce, wiemy jedynie, że są w Hiszpanii, Szwajcarii, Niemczech. ","są w Hiszpanii, Szwajcarii, Niemczech. ","wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
" Szacował, że na ten cel potrzeba ok. 1 mln zł.",na ten cel potrzeba ok. 1 mln zł,"szacować, że_",epistemiczny,past,NF,inne,False,indywidualne,N
"Tam przez kilka lat, po kawałku, pruta była na nitki do cerowania, a gdy powróciła do kraju, okazało się, że świetnie nadaje się do noszenia, bo... zapanowała moda na mini.","świetnie nadaje się do noszenia, bo... zapanowała moda na mini.","okazać się, że_",inne,past,NF,present,False,indywidualne,E
"Z pokorą mówię, że odpowiedzi szukam głównie analizując doświadczenia rządów Blaira. ",odpowiedzi szukam głównie analizując doświadczenia rządów Blaira. ,"mówić, że_",mówienia,present,NF,present,False,indywidualne,N
"Kiedy Aleksander Cierpicki w marcu 1987 r. postanowił pobiegać w samych kąpielówkach ośnieżoną plażą w Jelitkowie, nie mógł przypuszczać, że właśnie zapoczątkował nowy obyczaj bicia rekordów.",właśnie zapoczątkował nowy obyczaj bicia rekordów.,"przypuszczać, że_",epistemiczny,past,NF,past,True,indywidualne,E
a teściowej powiedział że kupił., kupił.,"powiedzieć, że_",mówienia,past,NF,past,False,indywidualne,N
"Cieszę się, że mogłem wystąpić w meczu kończącym eliminacje.",mogłem wystąpić w meczu kończącym eliminacje.,"cieszyć się, że_",emotywny,present,F,past,False,indywidualne,E
myślę że tylko media takie bardzo szybkie informacyjne mogły twierdzić że są wakacje ,tylko media takie bardzo szybkie informacyjne mogły twierdzić że są wakacje ,"myśleć, że_",epistemiczny,present,NF,past,False,indywidualne,N
"Choć ""Polskie Requiem"" wykonywano już w bardzo różnych wersjach, wciąż nie dawałem partytury do druku, ponieważ czułem, że utwór jest nieukończony.",utwór jest nieukończony.,"[e] czuć, że_",epistemiczny,past,NF,present,False,indywidualne,N
"Boimy się, że zaatakują nas bakterie, że coś nam spadnie na głowę albo dostaniemy ataku serca i lekarze nie zdążą.",zaatakują nas bakterie,"bać się, że_",epistemiczny,present,NF,future,False,reguła,N
mam nadzieję że masz oparcie w narzeczonym..., masz oparcie w narzeczonym...,"mieć nadzieję, że_",epistemiczny,present,NF,present,False,indywidualne,N
za y umiejętność grania udawanych uczuć bo nie wiem czy zauważyliście jak on idealnie gra uczucia i widać że on je udaje,on je udaje,"[e] widać, że_",epistemiczny,,F,present,False,indywidualne,E
"Czuł, że maszynistka nie spuszczają zeń oczu",maszynistka nie spuszczają zeń oczu,"[e] CZUĆ, że_",epistemiczny,past,F,present,False,indywidualne,E
"Okazało się, że można z nią żyć, i to nawet szczęśliwie, pod warunkiem zaakceptowania własnej choroby oraz zmiany sposobu życia.","można z nią żyć, i to nawet szczęśliwie, pod warunkiem zaakceptowania własnej choroby oraz zmiany sposobu życia.","okazać się, że_",inne,past,NF,present,False,indywidualne,E
 no wiadomo że lepiej by było tu mieszkać niż tam,lepiej by było tu mieszkać niż tam,"wiadomo, że_",epistemiczny,,F,inne,False,indywidualne,E
"Jeszcze dwa , trzy lata temu jej tata zapewniał w wywiadach, że nie liczy na kontynuowanie rodzinnych tradycji przez córkę, ale okazało się, że Sandra postanowiła zarabiać na życie tak samo, jak oni.","Sandra postanowiła zarabiać na życie tak samo, jak oni.","okazać się, że_",inne,past,NF,past,False,indywidualne,E
"Mówi się tutaj, że można ograniczyć zakres akredytacji, zawiesić akredytację lub dokonać jej cofnięcia.","można ograniczyć zakres akredytacji, zawiesić akredytację lub dokonać jej cofnięcia.","mówić, że_",mówienia,present,NF,inne,False,indywidualne,N
"Nie liczą się z tym, że te awantury, względnie godziny czy nawet dnie wrogiego milczenia, kształtują ich dziecko i zaowocują w najgorszym tego słowa znaczeniu.","te awantury, względnie godziny czy nawet dnie wrogiego milczenia, kształtują ich dziecko i zaowocują w najgorszym tego słowa znaczeniu.","liczyć się z czymś, że_",epistemiczny,present,NF,present,True,indywidualne,E
"Czy mama sądzi, że dobrze robię wychodząc za Artura?",dobrze robię wychodząc za Artura?,"sądzić, że_",epistemiczny,present,NF,present,False,pytajne,N
"Mówili, że pan Kwiatkowski jest trochę surowy, ale uczy dzieci myśleć"," pan Kwiatkowski jest trochę surowy, ale uczy dzieci myśleć","mówić, że_",mówienia,past,NF,present,False,indywidualne,N
 tak sobie myślę że że ten,ten,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Jeśli, załóżmy, jako punkt wyjścia przyjmiemy określoną definicję potrzeb zdrowotnych i powiemy, że fundusz ubezpieczeń zdrowotnych pokrywa te i tylko te potrzeby, które są społecznie usankcjonowane, powstaje natychmiast problem, jakiego rodzaju potrzeby znajdą się na tej liście i kto powinien ową listę ustalać."," fundusz ubezpieczeń zdrowotnych pokrywa te i tylko te potrzeby, które są społecznie usankcjonowane, ","powiedzieć, że_",mówienia,future,NF,present,False,indywidualne,N
"Wiemy już, że zmieściliśmy się w tej kwocie, a nawet, że wyszło trochę taniej. ", zmieściliśmy się w tej kwocie,"wiedzieć, że_",epistemiczny,present,F,past,False,indywidualne,E
"Jerzy Szajnowicz, prezes Zrzeszenia Transportu Prywatnego w Gdańsku, twierdzi, że o ewentualnych fuzjach w Gdańsku nic nie słyszał. ", o ewentualnych fuzjach w Gdańsku nic nie słyszał. ,"twierdzić, że_",mówienia,present,NF,past,False,indywidualne,N
"Przestań, bo się rozpłaczę, a przecież wiesz, że twardziele nie płaczą...",twardziele nie płaczą...,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Szacuje się, że w naszym kraju ok. 10 proc. populacji to osoby niepełnosprawne",w naszym kraju ok. 10 proc. populacji to osoby niepełnosprawne,"szacować, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Wydawałoby się, że w porównaniu z tymi warunkami życie w otwartych wodach oceanu nie powinno być dla nich trudne. ",w porównaniu z tymi warunkami życie w otwartych wodach oceanu nie powinno być dla nich trudne. ,"wydaje się, że_",epistemiczny,,NF,inne,False,indywidualne,N
"Saddam zakłada, zresztą ma na ten temat bezpośrednie sygnały od swego znajomego Primakowa, że Putin będzie chciał wrócić na Bliski Wschód opuszczony przez ZSRR. ",Putin będzie chciał wrócić na Bliski Wschód opuszczony przez ZSRR.,"zakładać, że_",epistemiczny,present,NF,future,False,indywidualne,N
wydawałoby się. że Kaczyński PiS jest całkowicie niekompetentny,Kaczyński PiS jest całkowicie niekompetentny,"wydaje się, że_",epistemiczny,,NF,present,False,indywidualne,N
"Trzeba przyznać, że wójt przyjął dość interesującą linię obrony.",wójt przyjął dość interesującą linię obrony.,"przyznać, że_",mówienia,,F,past,False,indywidualne,E
"Mimo że Walter Hofer, dyrektor tej imprezy, robił przerwy i opóźniał zawody, licząc, że wicher się w końcu zmiłuje i ucichnie.",wicher się w końcu zmiłuje i ucichnie.,"liczyć, że_",epistemiczny,past,NF,future,False,indywidualne,C
"Dowiedzieliśmy się, że pastylki trafiły do gdyńskiego magazynu z dalekich Indii.", pastylki trafiły do gdyńskiego magazynu z dalekich Indii.,"dowiedzieć się, że_",epistemiczny,past,F,past,False,indywidualne,E
ja z kolei mam wrażenie że ten. że  ten film jest mam nadzieję że jest pierwszym odcinkiem filmów o panu marszałku Komorowskim ,ten film jest ,"mieć wrażenie, że_",epistemiczny,present,NF,present,False,indywidualne,N
ja oficjalnie mówię że na Borczykową ,na Borczykową ,"mówić, że_",mówienia,present,NF,inne,False,indywidualne,N
"Mogli powiedzieć, że go podejrzewają",go podejrzewają,"powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,E
"Wy jesteście od tego, by stworzyć im atmosferę, a wiem, że to umiecie.", to umiecie,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Tymczasem, policja twierdzi, że robi wszystko, by schwytać złodziei. ","robi wszystko, by schwytać złodziei. ","twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Nasz handlowiec, sugerując, że jest tu tylko przy okazji, oraz używając zdrobnień, wysyłał do podświadomości klienta sygnał: ""Nie jest to na tyle ważna sprawa, żeby specjalnie przyjeżdżać"".", jest tu tylko przy okazji,"sugerować, że_",mówienia,past,NF,present,False,indywidualne,C
"Wiadomo, że Kulczyk gra na wzrost wartości swoich akcji, więc i oni mogą przy nim skorzystać.","Kulczyk gra na wzrost wartości swoich akcji,","wiadomo, że_",epistemiczny,present,F,present,False,indywidualne,E
 więc jakby też jest tu ukazane że to generalnie pedofile , to generalnie pedofile ,"ukazać, że_",mówienia,present,F,inne,False,indywidualne,E
" Przypomnę, że językiem Klingon - wymyślonym, oczywiście - posługują się ""czarne charaktery"" serialu, a wspomniany Instytut (nawiasem mówiąc, rzeczywiście istniejąca organizacja społeczna) całkiem na serio zajmuje się jego gramatyką i słownictwem, promując ów język jako następcę esperanto.","językiem Klingon - wymyślonym, oczywiście - posługują się ""czarne charaktery"" serialu, a wspomniany Instytut (nawiasem mówiąc, rzeczywiście istniejąca organizacja społeczna) całkiem na serio zajmuje się jego gramatyką i słownictwem, promując ów język jako następcę esperanto.","przypomnieć komuś, że_",mówienia,present,F,present,False,performatyw,E
"Przerażeni autentycznością tego wspomnienia, z całą pewnością stwierdzamy, że to nie mogło się wydarzyć.",to nie mogło się wydarzyć.,"stwierdzać, że_",mówienia,present,NF,past,False,indywidualne,N
"Mówił, że został wykolegowany.",został wykolegowany.,"mówić, że_",mówienia,past,NF,past,False,indywidualne,N
"O tym, że ma awansować do Warszawy, mówiło się od ponad pół roku - jeszcze za czasów istnienia Urzędu Ochrony Państwa.",ma awansować do Warszawy,"mówić, że_",mówienia,past,NF,future,False,indywidualne,E
"Premier Szwecji Goran Persson przypomniał jednak, że Maastricht II nie rozwiązuje wszystkich problemów z przyjęciem nowych członków, np. co zrobić, by przyjęcie biednych krajów z naszego regionu nie rozbiło budżetu Unii.","Maastricht II nie rozwiązuje wszystkich problemów z przyjęciem nowych członków,","przypomnieć komuś, że_",mówienia,past,F,present,False,indywidualne,E
" Bez wielkiej przesady można powiedzieć, że zachowują się w tym względzie jak lemingi, dziwne zwierzątka, które biegną w stadach przez wiele mil, by na końcu wędrówki rzucać się gremialnie w przepaść.",zachowują się w tym względzie jak lemingi,"powiedzieć, że_",mówienia,,NF,present,False,indywidualne,N
"Wydaje nam się, że z punktu widzenia doświadczenia w kampaniach wyborczych i parlamentarnych jest to przepis, który jest potrzebny."," z punktu widzenia doświadczenia w kampaniach wyborczych i parlamentarnych jest to przepis, który jest potrzebny.","wydaje się komuś, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Załóżmy, że będzie to dodawanie w pętli w każdym przebiegu wartości 1, a sama pętla będzie miała tych przebiegów 10. ","będzie to dodawanie w pętli w każdym przebiegu wartości 1, a sama pętla będzie miała tych przebiegów 10.","założyć, że_",epistemiczny,,NF,future,False,performatyw,N
"Jako osobisty lekarz Papieża miałem prawo utrzymywać, że do tego upadku przyczynił się również pewien brak pewności w utrzymaniu równowagi, który był efektem zespołu neurologicznego o charakterze poza-piramidowym, schorzenia po raz pierwszy zaobserwowanego w ostatnich miesiącach 1991 roku.","do tego upadku przyczynił się również pewien brak pewności w utrzymaniu równowagi, który był efektem zespołu neurologicznego o charakterze poza-piramidowym,","utrzymywać, że_",mówienia,past,NF,past,False,indywidualne,N
"Boimy się, że zaatakują nas bakterie, że coś nam spadnie na głowę albo dostaniemy ataku serca i lekarze nie zdążą.",coś nam spadnie na głowę albo dostaniemy ataku serca i lekarze nie zdążą.,"bać się, że_",epistemiczny,present,NF,future,False,reguła,N
"Czy ty uważasz, że my jesteśmy dobrym małżeństwem?",my jesteśmy dobrym małżeństwem?,"uważać, że_",epistemiczny,present,NF,present,False,pytajne,N
"Wszyscy to tłumaczą dojrzewaniem, a ja po prostu uważam że to jest za mało pewności siebie i mało przekonania że będzie dobrze.",to jest za mało pewności siebie i mało przekonania że będzie dobrze.,"uważać, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Ale wydaje mi się, że to bardziej zasługa mamy, niż twoja.","to bardziej zasługa mamy, niż twoja.","wydaje się komuś, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Wydaje się, że jest to jeden z głównych problemów, przed jakim stanie polski Kościół. ","jest to jeden z głównych problemów, przed jakim stanie polski Kościół. ","wydaje się, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Tak, okazało się, że jazda stopem przez zakurzone drogi Afryki w ponad czterdziestostopniowym upale z małym szczeniaczkiem, który boi się obcych (a każdy poza mną jest obcy), boi się pojazdów i przez większość czasu musi być niesiony na rękach – nie jest łatwe. ",jazda stopem przez zakurzone drogi Afryki w ponad czterdziestostopniowym upale z małym szczeniaczkiem nie jest łatwe. ,"okazać się, że_",inne,past,NF,present,False,indywidualne,E
